date,true_regime,true_fair_pe,true_pit_eps,true_observed_pe,true_split_factor_to_final,true_close_split_adjusted,true_pit_eps_split_adjusted,true_observed_pe_split_adjusted,demo_generator_version
2013-01-02,BULL,31.0,,,2.0,34.72429008667963,,,smooth_fair_pe_pit_truth_xnys_v5
2013-01-03,BULL,30.999999999999982,,,2.0,36.01809715905833,,,smooth_fair_pe_pit_truth_xnys_v5
2013-01-04,BULL,30.99999999999997,2.2402767797857828,31.4987759779154,2.0,35.28298820749904,1.1201383898928914,31.4987759779154,smooth_fair_pe_pit_truth_xnys_v5
2013-01-07,BULL,30.99999999999996,2.2402767797857828,31.58393872134532,2.0,35.37838226580349,1.1201383898928914,31.58393872134532,smooth_fair_pe_pit_truth_xnys_v5
2013-01-08,BULL,30.999999999999947,2.2402767797857828,31.09774157410888,2.0,34.83377417612755,1.1201383898928914,31.09774157410888,smooth_fair_pe_pit_truth_xnys_v5
2013-01-09,BULL,30.99999999999993,2.2402767797857828,30.787237392937985,2.0,34.48596652257577,1.1201383898928914,30.787237392937985,smooth_fair_pe_pit_truth_xnys_v5
2013-01-10,BULL,30.99999999999993,2.2402767797857828,30.77248130403349,2.0,34.46943766090918,1.1201383898928914,30.77248130403349,smooth_fair_pe_pit_truth_xnys_v5
2013-01-11,BULL,30.99999999999993,2.2402767797857828,31.541830822214333,2.0,35.33121559146914,1.1201383898928914,31.541830822214333,smooth_fair_pe_pit_truth_xnys_v5
2013-01-14,BULL,30.99999999999993,2.2402767797857828,32.54724782693086,2.0,36.45742177630324,1.1201383898928914,32.54724782693086,smooth_fair_pe_pit_truth_xnys_v5
2013-01-15,BULL,30.99999999999993,2.2402767797857828,32.7151094870745,2.0,36.64545006602128,1.1201383898928914,32.7151094870745,smooth_fair_pe_pit_truth_xnys_v5
2013-01-16,BULL,30.99999999999993,2.2402767797857828,32.3892746982153,2.0,36.28047001025745,1.1201383898928914,32.3892746982153,smooth_fair_pe_pit_truth_xnys_v5
2013-01-17,BULL,30.99999999999993,2.2402767797857828,33.78666613546008,2.0,37.845741804822936,1.1201383898928914,33.78666613546008,smooth_fair_pe_pit_truth_xnys_v5
2013-01-18,BULL,30.99999999999993,2.2402767797857828,33.35492739187285,2.0,37.36213466372675,1.1201383898928914,33.35492739187285,smooth_fair_pe_pit_truth_xnys_v5
2013-01-22,BULL,30.99999999999993,2.2402767797857828,32.86906574614214,2.0,36.81790238216725,1.1201383898928914,32.86906574614214,smooth_fair_pe_pit_truth_xnys_v5
2013-01-23,BULL,30.99999999999993,2.2402767797857828,31.723898862520382,2.0,35.53515699298851,1.1201383898928914,31.723898862520382,smooth_fair_pe_pit_truth_xnys_v5
2013-01-24,BULL,30.99999999999993,2.2402767797857828,32.48618644226364,2.0,36.38902457519747,1.1201383898928914,32.48618644226364,smooth_fair_pe_pit_truth_xnys_v5
2013-01-25,BULL,30.99999999999993,2.2402767797857828,32.96458229714067,2.0,36.92489413781087,1.1201383898928914,32.96458229714067,smooth_fair_pe_pit_truth_xnys_v5
2013-01-28,BULL,30.99999999999993,2.2402767797857828,34.304187457169114,2.0,38.42543730485733,1.1201383898928914,34.304187457169114,smooth_fair_pe_pit_truth_xnys_v5
2013-01-29,BULL,30.99999999999993,2.2402767797857828,33.25413752318359,2.0,37.24923606249565,1.1201383898928914,33.25413752318359,smooth_fair_pe_pit_truth_xnys_v5
2013-01-30,BULL,30.99999999999993,2.2402767797857828,33.99504406448934,2.0,38.07915392273499,1.1201383898928914,33.99504406448934,smooth_fair_pe_pit_truth_xnys_v5
2013-01-31,BULL,30.99999999999993,2.2402767797857828,33.85015362359945,2.0,37.91685657756571,1.1201383898928914,33.85015362359945,smooth_fair_pe_pit_truth_xnys_v5
2013-02-01,BULL,30.99999999999993,2.2402767797857828,34.164119695022706,2.0,38.26854202729075,1.1201383898928914,34.164119695022706,smooth_fair_pe_pit_truth_xnys_v5
2013-02-04,BULL,30.99999999999993,2.2402767797857828,32.97285501465186,2.0,36.934160726283885,1.1201383898928914,32.97285501465186,smooth_fair_pe_pit_truth_xnys_v5
2013-02-05,BULL,30.99999999999993,2.2402767797857828,33.730695681562764,2.0,37.78304715071282,1.1201383898928914,33.730695681562764,smooth_fair_pe_pit_truth_xnys_v5
2013-02-06,BULL,30.99999999999993,2.2402767797857828,34.03877483822799,2.0,38.12813844121936,1.1201383898928914,34.03877483822799,smooth_fair_pe_pit_truth_xnys_v5
2013-02-07,BULL,30.99999999999993,2.2402767797857828,33.824626917153175,2.0,37.88826313370771,1.1201383898928914,33.824626917153175,smooth_fair_pe_pit_truth_xnys_v5
2013-02-08,BULL,30.99999999999993,2.2402767797857828,34.04111491301545,2.0,38.13075964882402,1.1201383898928914,34.04111491301545,smooth_fair_pe_pit_truth_xnys_v5
2013-02-11,BULL,30.99999999999993,2.2402767797857828,33.387288031370666,2.0,37.398383058349744,1.1201383898928914,33.387288031370666,smooth_fair_pe_pit_truth_xnys_v5
2013-02-12,BULL,30.99999999999993,2.2402767797857828,32.89412356005925,2.0,36.84597060150259,1.1201383898928914,32.89412356005925,smooth_fair_pe_pit_truth_xnys_v5
2013-02-13,BULL,30.99999999999993,2.2402767797857828,32.504989942696675,2.0,36.41008709789688,1.1201383898928914,32.504989942696675,smooth_fair_pe_pit_truth_xnys_v5
2013-02-14,BULL,30.99999999999993,2.2402767797857828,31.34955674778286,2.0,35.11584201931732,1.1201383898928914,31.34955674778286,smooth_fair_pe_pit_truth_xnys_v5
2013-02-15,BULL,30.99999999999993,2.2402767797857828,31.8182175800188,2.0,35.640807009343945,1.1201383898928914,31.8182175800188,smooth_fair_pe_pit_truth_xnys_v5
2013-02-19,BULL,30.99999999999993,2.2402767797857828,32.45727414080445,2.0,36.35663879639288,1.1201383898928914,32.45727414080445,smooth_fair_pe_pit_truth_xnys_v5
